,ID,ETL_DATE,ENTID,NAME,ADDRESS,CODE1,CODE2,ISURBAN,ISBOARD,HAVEBOND,HAVEBOND2,ISBAD,M001,M002,M003,M004,M005,M006,M010,M011,M012,M013,M015,M020,M021,M022,M023,M024,M025,M026,F005,F015,F022,F024,F031,F037,F039,F044,DATA_DATE
451,1194982,2020-10-15 22:36:56,6F274BC8299D7C57E0539601A8C0ACD65,北京博晖创新生物技术股份有限公司,北京市昌平区生命园路9号院,91110000726362190T,726362190,0,1,0,0,,-0.506224,-0.331461,-0.118519,-0.129799,-0.166375,,,,,,,,-0.136132,2.95231,0.711214,-0.0654833,3.40014,0.67022,6.9795,16.7074,1.2075,-0.2145,0.1019,1.9337,0.3161,9.827,2018-06-29
452,1194983,2020-10-15 22:36:56,6F274BC83E7D7C57E0539601A8C0ACD65,中广核风电有限公司,北京市丰台区南四环西路188号12区2号楼,91110000717827080A,717827080,0,0,1,1,,,,,,,,,110.0,,0.0,0.0,0.0,,,,,,,3.451,81.5145,1.1988,0.7551,0.6489,0.3557,0.4688,24.7029,2018-06-29
453,1194984,2020-10-15 22:36:56,6F274BC847F97C57E0539601A8C0ACD65,中国复合材料集团有限公司,北京市海淀区复兴路17号国海广场2号楼(B座),911101081000084480,100008448,0,0,1,0,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,6.7231,26.2925,0.0633,0.0422,0.2133,2.6925,0.557,-13.5308,2018-06-29
454,1194985,2020-10-15 22:36:56,6F274BC84B3B7C57E0539601A8C0ACD65,德天御生态科技(北京)有限公司,北京市海淀区万泉庄路15号6层601-017,911101087967497109,796749710,0,0,1,0,,,,,,,,,70.0,1.0,,,,,,,,,,2.4725,9.1828,-11.712,-0.0996,0.3307,1.7836,4.9204,,2018-06-29
455,1194986,2020-10-15 22:36:56,6F274BC858BA7C57E0539601A8C0ACD65,中国航空发动机集团有限公司,北京市海淀区蓝靛厂南路5号,91110000MA005UCQ5P,MA005UCQ5,0,0,1,1,,,,,,,,,110.0,,2.0,0.0,0.0,,,,,,,2.2827,35.5358,-0.1087,-0.1721,0.3153,2.7306,0.9286,,2018-06-29
456,1194987,2020-10-15 22:36:56,6F274BC85BB07C57E0539601A8C0ACD65,华油惠博普科技股份有限公司,湖南省长沙市岳麓区金星北路一段22号恒晟商厦C座542号房,91110000700148065Y,700148065,0,1,1,1,,-0.560056,-0.461538,-0.332627,-0.194373,-0.16,,,90.0,,36.0,0.0,0.0,-0.220085,2.79625,1.77082,-0.290812,3.52749,2.29736,4.3268,12.5601,-0.1145,-0.1027,0.247,4.2509,1.1217,41.4471,2018-06-29
457,1194988,2020-10-15 22:36:56,6F274BC85EE17C57E0539601A8C0ACD65,北京市热力集团有限责任公司,北京市朝阳区柳芳北街6号,91110000101100238R,101100238,1,0,1,1,,,,,,,,,105.0,,0.0,0.0,0.0,,,,,,,7.2943,76.6972,0.7611,0.347,0.1624,14.0701,1.393,8.3864,2018-06-29
458,1194989,2020-10-15 22:36:56,6F274BC86E917C57E0539601A8C0ACD65,创业黑马科技集团股份有限公司,北京市朝阳区酒仙桥北路7号60幢一层027,91110105585848161G,585848161,0,1,0,0,,,,0.139714,-0.103434,0.089246,11.0,,,,,,,0.999846,5.88397,16.4139,0.243842,6.22691,17.5963,,0.7739,,0.0757,,-1.4011,,0.1816,2018-06-29
459,1194990,2020-10-15 22:36:56,6F274BC876257C57E0539601A8C0ACD65,北京大地环境工程技术有限公司,北京市海淀区中关村南大街5号683号楼理工科技大厦14层1411室,91110108783236721E,783236721,0,0,1,0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,2018-06-29
460,1194991,2020-10-15 22:36:56,6F274BC8814A7C57E0539601A8C0ACD65,中国医药健康产业股份有限公司,北京市东城区光明中街18号,911100001000265317,100026531,0,1,1,0,,0.138318,-0.296496,-0.26597,-0.209433,-0.176656,,,,,,,,-0.106963,3.05747,0.754197,-0.211894,3.39608,0.950898,29.4896,9.3052,0.475,0.0174,0.0517,-3.0244,3.0301,17.0021,2018-06-29
461,1194992,2020-10-15 22:36:56,6F274BC893017C57E0539601A8C0ACD65,北京合众思壮科技股份有限公司,北京市海淀区知春路118号知春大厦1501室,91110000700145956E,700145956,0,1,0,0,,-0.531161,0.057508,-0.173739,-0.156043,-0.107335,54.0,,,,,,,0.0533459,3.72887,2.27619,-0.128297,3.7603,1.69154,6.1664,6.2096,-0.2234,-0.3703,0.4684,1.0322,0.4876,95.4829,2018-06-29
462,1194993,2020-10-15 22:36:56,6F274BC896EA7C57E0539601A8C0ACD65,北京京城机电股份有限公司,北京市朝阳区东三环中路59号楼901室,91110000101717457X,101717457,0,1,0,0,,-0.42586,-0.28928,-0.295488,-0.279762,-0.153846,6.0,,,,,,,-0.115554,3.18525,0.332774,-0.241429,4.11253,0.373928,6.1,38.0202,-0.7581,-0.1883,0.1593,1.8986,0.2621,35.2965,2018-06-29
463,1194994,2020-10-15 22:36:56,6F274BC898327C57E0539601A8C0ACD65,北京数字认证股份有限公司,北京市海淀区北四环西路68号1501号,91110108722619411A,722619411,0,1,0,0,,,-0.371981,-0.335556,-0.397177,-0.142037,,,,,,,,0.0329443,4.45929,6.85938,0.0708092,4.85731,6.05765,,1.7513,,0.2218,,-1.1187,,16.6848,2018-06-29
464,1194995,2020-10-15 22:36:56,6F274BC898957C57E0539601A8C0ACD65,荣联科技集团股份有限公司,北京市海淀区北四环西路56号10层1002-1,91110000802062406U,802062406,0,1,0,0,,-0.650038,-0.63328,-0.299008,-0.290895,-0.130558,104.0,,,,,,,-0.350547,4.12754,2.2877,-0.226968,4.62342,2.69155,-3.2387,9.2822,0.2553,0.0553,0.0893,-4.0485,2.9288,18.3824,2018-06-29
465,1194996,2020-10-15 22:36:56,6F274BC8A2427C57E0539601A8C0ACD65,北京同仁堂健康药业股份有限公司,北京市北京经济技术开发区景园北街2号58幢5层--13层,91110302748103165P,748103165,0,0,1,1,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,12.0849,18.9731,0.2345,0.0643,0.2639,2.549,0.5638,6.6,2018-06-29
466,1194997,2020-10-15 22:36:56,6F274BC8BB507C57E0539601A8C0ACD65,中公高科养护科技股份有限公司,北京市海淀区地锦路9号院4号楼-1至4层101,91110108667509745C,667509745,0,1,0,0,,,,-0.152728,-0.10642,-0.113088,,,,,,,,0.406276,4.48094,9.38295,-0.139456,4.38206,5.47546,71.9732,26.0158,0.8619,0.0958,0.042,-1.9399,13.9699,11.979,2018-06-29
467,1194998,2020-10-15 22:36:56,6F274BC8BE0D7C57E0539601A8C0ACD65,中信房地产集团有限公司,北京市朝阳区光华东里8号院1号楼102内F1-12C号,91100000100005204H,100005204,0,0,1,1,,,,,,,,,105.0,,0.0,2.0,0.0,,,,,,,1.6445,0.2196,4.1214,0.5335,0.3465,0.5303,3.2617,103.408,2018-06-29
468,1194999,2020-10-15 22:36:56,6F274BC8DC1D7C57E0539601A8C0ACD65,北京北纬通信科技股份有限公司,北京市丰台区西四环南路19号九号楼247室,911100006336429941,633642994,0,1,0,0,,-0.707071,-0.455399,-0.360529,-0.304556,-0.164265,,,,,,,,-0.198389,3.91296,4.59042,-0.308727,3.90574,2.56337,,14.8838,,0.3452,,-4.9454,,44.471,2018-06-29
469,1195000,2020-10-15 22:36:56,6F274BC8DD547C57E0539601A8C0ACD65,中国冶金科工集团有限公司,北京市朝阳区曙光西里28号,91110000100000948R,100000948,0,0,1,1,,,,,,,,,110.0,,0.0,0.0,0.0,,,,,,,3.8955,7.9766,0.2126,0.075,0.2849,0.1519,0.5025,11.7816,2018-06-29
470,1195001,2020-10-15 22:36:56,6F274BC8E47B7C57E0539601A8C0ACD65,中化能源股份有限公司,北京市西城区复兴门内大街28号凯晨世贸中心中座F9层,911100001011450068,101145006,0,0,1,0,,,,,,,,,,,,,,,,,,,,11.9184,,0.0904,0.0037,0.2939,0.9235,0.164,48.6729,2018-06-29
471,1195002,2020-10-15 22:36:56,6F274BC8EBA77C57E0539601A8C0ACD65,北京东方通科技股份有限公司,北京市丰台区丰台路口139号主楼311室(园区),91110000633636471E,633636471,0,1,0,0,,-0.805538,-0.224417,0.211234,0.148537,0.157218,6.0,,,,,,,-0.0575829,3.92717,2.82354,0.206988,4.292,2.40006,,0.2514,,0.3729,,-1.5174,,-10.022,2018-06-29
472,1195003,2020-10-15 22:36:56,6F274BC8F7847C57E0539601A8C0ACD65,北京首旅酒店(集团)股份有限公司,北京市西城区复兴门内大街51号,911100007002172436,700217243,0,1,0,0,,0.361222,0.155678,0.00666914,-0.0752212,0.0474171,,0.274426,,,,,,0.182754,4.22044,1.11366,0.22839,4.68928,1.27239,10.324,16.0299,1.3508,0.2457,0.2745,-0.4467,0.9471,29.0348,2018-06-29
473,1195004,2020-10-15 22:36:56,6F274BC8FAFA7C57E0539601A8C0ACD65,凯盛科技集团有限公司,北京市海淀区紫竹院南路2号,91110000101923517F,101923517,0,0,1,1,,,,,,,,,95.0,,0.0,0.0,0.0,,,,,,,3.4257,37.0342,0.025,0.0215,0.4036,0.0651,0.407,64.5001,2018-06-29
