FE;EBITA;OCF;MC;FS
53.4;212.3;334;0.243880911;0
113.5;151.7;271.9;0.315402303;0
119.1;284.5;449.8;0.331919493;0
175.9;403.5;482;-0.40208109;0
244.9;74.2;164.3;0.114914472;0
156;531.2;305.3;0.159291376;0
221.2;715.3;553.7;0.655683117;0
207.9;734.7;696;0.308016926;0
161;796;753;0.138420573;0
117;916;981;0.663254506;0
117;1226;1030;0.557785419;0
115;1650;1584;0.28260769;0
319;1829;1386;0.085837268;0
307;1750;1590;-0.173325212;0
89.106;1.999;1.648;-1;0
0;6.977;1.673;0.457600937;0
0;6.789;9.657;-0.10735298;0
0.203;8.102;5.779;-0.183641244;0
